# x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
7.2602,-6.0238,1.0613,1.0613,0.5072937689936408
7.1957,-5.9594,1.0416,1.0416,0.45206780357139564
7.1312,-5.9594,1.0662,1.0662,0.3383744939573655
7.0668,-5.8949,1.0662,1.0662,0.178647276300294
7.0023,-5.8305,1.0662,1.0662,0.02028937521721859
6.9379,-5.766,1.0662,1.0662,-0.13787074051164738
6.8734,-5.7015,1.0613,1.0613,-0.11344020743216213
6.8089,-5.6371,1.0416,1.0416,-0.07076539842347326
6.7445,-5.6371,1.0662,1.0662,-0.040518867683425705
6.68,-5.5726,1.0695,1.0695,0.0023793181995588166
6.6156,-5.5082,1.0662,1.0662,0.040383038266333056
6.5511,-5.4437,1.0662,1.0662,0.028988788204256925
6.4866,-5.3792,1.0613,1.0613,0.017608100104350387
6.4222,-5.3148,1.0416,1.0416,0.006253833362579638
6.3577,-5.3148,1.0662,1.0662,-0.0017850417263934062
6.2933,-5.2503,1.0695,1.0695,-0.009547152191399809
6.2288,-5.1859,1.0662,1.0662,-0.007543200672801531
6.1643,-5.1214,1.0613,1.0613,-0.005536968351175811
6.0999,-5.0569,1.0416,1.0416,-0.003531781607676911
6.0354,-5.0569,1.0662,1.0662,-0.002112607595094535
5.971,-4.9925,1.0695,1.0695,0.00021833548162237675
5.9065,-4.928,1.0662,1.0662,0.00295438562905503
5.842,-4.8636,1.0662,1.0662,0.0056879620563266555
5.7776,-4.7991,1.0613,1.0613,0.008420902102669091
5.7131,-4.7346,1.0416,1.0416,0.011155025369543417
5.6487,-4.7346,1.0662,1.0662,0.004004586092508453
5.5842,-4.6702,1.0695,1.0695,-0.007719742689641655
5.5197,-4.6057,1.0662,1.0662,-0.01945737436315063
5.4553,-4.5413,1.0613,1.0613,-0.03118668855191359
5.3908,-4.4768,1.0416,1.0416,-0.037434318965977716
5.3264,-4.4768,1.0662,1.0662,-0.0070617953813737885
5.2619,-4.4123,1.0662,1.0662,0.03596160669595511
5.1974,-4.3479,1.0662,1.0662,0.07888514451565444
5.133,-4.2834,1.0662,1.0662,0.12163971617141668
5.0685,-4.219,1.0613,1.0613,0.1079578713576375
5.0041,-4.1545,1.0416,1.0416,-0.05024381651856666
4.9396,-4.1545,1.0662,1.0662,-0.16240443085214237
4.8751,-4.09,1.0695,1.0695,-0.32222221485359476
4.8107,-4.0256,1.0662,1.0662,-0.4828234627569137
4.7462,-3.9611,1.0662,1.0662,-0.46389058692885976
4.6818,-3.8967,1.0613,1.0613,-0.2356208964253761
4.6173,-3.8322,1.0416,1.0416,-0.009181032424558247
4.5528,-3.8322,1.0662,1.0662,0.15069227754266568
4.4884,-3.7677,1.0695,1.0695,0.37827177113684596
4.4239,-3.7033,1.0662,1.0662,0.5427977119957154
4.3595,-3.6388,1.0613,1.0613,0.38226449966616344
4.295,-3.5744,1.0416,1.0416,0.22195380243139967
4.2305,-3.5744,1.0662,1.0662,0.10941994557198795
4.1661,-3.5099,1.0662,1.0662,-0.04885391991209923
4.1016,-3.4454,1.0662,1.0662,-0.13771834028881863
4.0372,-3.381,1.0662,1.0662,-0.09482059405289103
3.9727,-3.3165,1.0613,1.0613,-0.05163574339936406
3.9082,-3.2521,1.0416,1.0416,-0.008384075762697507
3.8438,-3.2521,1.0662,1.0662,0.02218960156072287
3.7793,-3.1876,1.0662,1.0662,0.03603386361236202
3.7149,-3.1231,1.0662,1.0662,0.02325429031334609
3.6504,-3.0587,1.0662,1.0662,0.010487324499124191
3.5859,-2.9942,1.0613,1.0613,-0.0022834656597313764
3.5215,-2.9298,1.0416,1.0416,-0.01503555404763788
3.457,-2.9298,1.0662,1.0662,-0.010420042638502863
3.3926,-2.8653,1.0695,1.0695,-0.003818877729646125
3.3281,-2.8008,1.0662,1.0662,0.0027884413426432376
3.2636,-2.7364,1.0613,1.0613,0.009389853377426722
3.1992,-2.6719,1.0416,1.0416,0.01262339950535666
3.1347,-2.6719,1.0662,1.0662,0.003826222476907378
3.0703,-2.6075,1.0662,1.0662,-0.008594505274672818
3.0058,-2.543,1.0662,1.0662,-0.021039588342703062
2.9413,-2.4785,1.0662,1.0662,-0.033496264262373746
2.8769,-2.4141,1.0613,1.0613,-0.02634574225254702
2.8124,-2.3496,1.0416,1.0416,0.01625127938937587
2.748,-2.3496,1.0662,1.0662,0.046312248801737614
2.6835,-2.2852,1.0662,1.0662,0.0887752737130939
2.619,-2.2207,1.0662,1.0662,0.13107030262248257
2.5546,-2.1562,1.0662,1.0662,0.06589659616601265
2.4901,-2.0918,1.0613,1.0613,-0.09162387132863963
2.4257,-2.0273,1.0416,1.0416,-0.2499749260165251
2.3612,-2.0273,1.0662,1.0662,-0.3629395867785661
2.2967,-1.9629,1.0662,1.0662,-0.5228696851775032
2.2323,-1.8984,1.0662,1.0662,-0.4043345300330106
2.1678,-1.8339,1.0662,1.0662,-0.1766131732972887
2.1034,-1.7695,1.0613,1.0613,0.048860740846662296
2.0389,-1.705,1.0416,1.0416,0.27530180343971905
1.9744,-1.705,1.0662,1.0662,0.4368196297392339
1.91,-1.6406,1.0662,1.0662,0.5016331804604998
1.8455,-1.5761,1.0662,1.0662,0.34085568651338044
1.7811,-1.5116,1.0662,1.0662,0.18103183272949755
1.7166,-1.4472,1.0613,1.0613,0.02258636113813715
1.6521,-1.3827,1.0416,1.0416,-0.13576235369544346
1.5877,-1.3827,1.0662,1.0662,-0.12668122656855185
1.5232,-1.3183,1.0695,1.0695,-0.08379974624195577
1.4588,-1.2538,1.0662,1.0662,-0.040733847709349964
1.3943,-1.1893,1.0613,1.0613,0.002441942322110355
1.3298,-1.1249,1.0416,1.0416,0.04146785399600884
1.2654,-1.1249,1.0662,1.0662,0.03268856673818497
1.2009,-1.0604,1.0662,1.0662,0.020267080314837135
1.1365,-0.996,1.0662,1.0662,0.007875757882027073
1.072,-0.9315,1.0662,1.0662,-0.004530441981438227
1.0075,-0.867,1.0613,1.0613,-0.012297527242488044
0.9431,-0.8026,1.0416,1.0416,-0.006429389997885361
0.8786,-0.8026,1.0662,1.0662,-0.0022724131785491807
0.8142,-0.7381,1.0662,1.0662,0.0036022205348548338
0.7497,-0.6737,1.0662,1.0662,0.009475780561894081
0.6852,-0.6092,1.0662,1.0662,0.007732671208806437
0.6208,-0.5447,1.0613,1.0613,-0.003966956422509302
0.5563,-0.4803,1.0416,1.0416,-0.015668683233561326
0.4919,-0.4803,1.0662,1.0662,-0.023941387875121796
0.4274,-0.4158,1.0662,1.0662,-0.035670095781691176
0.3629,-0.3514,1.0662,1.0662,-0.014399161882792881
0.2985,-0.2869,1.0662,1.0662,0.027799672842153986
0.234,-0.2224,1.0613,1.0613,0.06998139990270295
0.1696,-0.158,1.0416,1.0416,0.11195364232482335
0.1051,-0.158,1.0662,1.0662,0.14151783794191838
0.0406,-0.0935,1.0662,1.0662,0.02529304056564942
-0.0238,-0.0291,1.0662,1.0662,-0.13206842688590695
-0.0883,0.0354,1.0613,1.0613,-0.290798536720295
-0.1527,0.0999,1.0416,1.0416,-0.4506709064784611
-0.2172,0.0999,1.0613,1.0613,-0.5633012907842474
-0.2817,0.1643,1.0662,1.0662,-0.34576314623234533
-0.3461,0.2288,1.0662,1.0662,-0.11893502633833597
-0.4106,0.2932,1.0662,1.0662,0.10649223167988768
-0.475,0.3577,1.0613,1.0613,0.3331961435089714
-0.5395,0.4222,1.0416,1.0416,0.562000697928263
